A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,1.0,#,0.0,0.10737418240000006,0.8,1,37.920720825286516,9818,5873,0.3,0.00029605796942483757,52,65,False
0.0,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,10,52.07976844960147,9953,5875,0.25,0.004066017248549555,122,122,False
1.0,1.0,1.0,0.0,#,#,0.0,#,#,#,#,1.0,#,0.0,1.0,1.0,#,#,#,#,1.0,1.6538171687920194e-08,0.16666666666666666,1,24.52,9399,5883,0.45,0.00019143468932838166,1,6,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,#,#,#,#,0.0,1.0,1.0,1,47.60063614843549,9765,5886,0.35,0.00037163185126056614,24,24,False
1.0,1.0,0.0,1.0,0.0,#,1.0,#,#,#,#,#,#,#,#,#,1.0,0.0,#,#,0.0,1.0,1.0,2,29.478570025320447,9787,5904,0.4,0.00046029534214047014,19,19,False
0.0,1.0,#,1.0,#,#,#,#,#,0.0,#,0.0,0.0,#,#,#,#,#,1.0,#,0.0,1.0,1.0,1,47.395289338826004,9854,5905,0.35,0.0003700286496821744,26,26,False
1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,0.0,#,0.0,0.21940282102392292,0.8592592592592593,1,43.046712947872734,9938,5908,0.25,0.000336078063612726,116,135,False
0.0,#,1.0,#,#,#,#,1.0,#,#,1.0,1.0,1.0,#,#,1.0,#,#,0.0,#,1.0,0.21405831560130767,0.8571428571428571,1,43.718751744,9886,5910,0.4,0.00034132486370054175,12,14,False
1.0,0.0,#,0.0,#,#,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,#,1.0,1.0,1.0,1.0,1,45.00411730687164,9971,5928,0.35,0.0003513600821834836,22,22,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,0.0,1.0,1.0,4,58.914266855145264,9889,5936,0.3,0.0018398424751099685,60,60,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1.0,1.0,1,48.56382627304805,9831,5954,0.35,0.0003791517534738357,39,39,False
#,0.0,0.0,1.0,#,#,#,#,#,1.0,#,0.0,#,1.0,#,#,#,#,#,#,1.0,0.08618797774714908,0.782608695652174,1,42.45525584800705,9896,5959,0.3,0.00033146038799429804,36,46,False
#,#,1.0,0.0,#,#,0.0,0.0,#,#,0.0,#,#,#,0.0,#,1.0,#,0.0,0.0,0.0,1.0,1.0,2,42.2,8788,5977,0.45,0.0006589350644092746,5,5,False
0.0,0.0,1.0,0.0,#,1.0,1.0,#,#,#,#,#,#,0.0,1.0,#,#,#,#,#,1.0,1.0,1.0,1,48.58365358684897,9870,5983,0.4,0.00037930655101289345,20,20,False
1.0,0.0,1.0,0.0,#,#,#,#,#,0.0,#,#,1.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,2,46.47874485251049,9971,6000,0.35,0.0007257458467547686,38,38,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,#,0.0,0.06920875877393026,0.765625,1,43.04448238105272,9990,6002,0.3,0.00033606064893628975,49,64,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1.0,1,59.33012177854613,9997,6004,0.3,0.0004632073177198625,70,70,False
#,1.0,#,1.0,0.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,1.0,1.0,0.30794614765743855,0.8888888888888888,1,59.211223753078585,9911,6042,0.3,0.00046227904665268726,48,54,False
1.0,0.0,0.0,#,#,#,#,#,1.0,#,#,#,0.0,#,1.0,0.0,#,0.0,#,#,0.0,0.056313514709472656,0.75,1,40.95833856,9011,6059,0.4,0.0003197735243735838,9,12,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,0.0,#,1.0,1.0,1.0,3,46.75481007436939,9926,6079,0.3,0.0010950847317937674,70,70,False
0.0,1.0,1.0,1.0,#,#,0.0,#,#,#,#,1.0,1.0,#,#,1.0,#,#,0.0,0.0,1.0,1.0,1.0,1,45.5,9499,6084,0.5,0.0003552315809315402,4,4,False
#,0.0,#,0.0,#,#,1.0,0.0,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,0.48307007993361406,0.9298245614035088,3,50.893132654293744,9971,6111,0.3,0.0011920119541545073,53,57,False
#,0.0,0.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.12899983851278393,0.8148148148148148,1,50.73547453549784,9953,6124,0.25,0.0003961064357924571,88,108,False
0.0,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,1.0,1.0,2,50.051079857022145,9894,6124,0.3,0.0007815263395578349,59,59,False
#,0.0,0.0,1.0,#,#,#,1.0,#,1.0,1.0,0.0,0.0,#,#,#,#,#,0.0,#,1.0,0.00020904132382940202,0.42857142857142855,1,39.215999999999994,9226,6125,0.45,0.0003061705863255226,3,7,False
#,0.0,0.0,0.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.09669935836937649,0.7916666666666666,1,40.72682380912516,9953,6136,0.3,0.0003179660221546334,38,48,False
1.0,#,1.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,0.0,#,#,#,0.0,0.07125318561721058,0.7678571428571429,1,36.478557180940406,9741,6149,0.3,0.00028479858324147357,43,56,False
1.0,0.0,0.0,#,#,0.0,0.0,#,#,#,#,#,0.0,0.0,#,#,#,#,#,#,0.0,1.0,1.0,1,48.36452656560742,9454,6171,0.35,0.00037759576336057575,25,25,False
0.0,1.0,1.0,0.0,#,#,0.0,0.0,#,#,#,#,#,#,#,1.0,1.0,0.0,#,#,0.0,0.00010485760000000006,0.4,1,36.2,8213,6172,0.45,0.000282623807246632,2,5,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,10,39.358151579981936,9910,6174,0.25,0.0030728040457802595,120,120,False
0.0,0.0,0.0,#,1.0,1.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,3,51.28212234580921,9896,6185,0.3,0.001201122817214932,63,63,False
1.0,1.0,0.0,#,#,#,#,#,#,#,#,1.0,#,0.0,#,#,0.0,0.0,#,#,0.0,1.0,1.0,2,59.67097762476186,9750,6194,0.35,0.0009317369546098776,37,37,False
0.0,#,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.11471745097010137,0.8053097345132744,1,47.65117013039356,9991,6215,0.25,0.0003720263845858789,91,113,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,2,48.81218291081374,9993,6217,0.3,0.0007621814902913351,67,67,False
1.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,0.0,0.0,1.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1,37.333333333333336,9912,6223,0.45,0.0002914720664053663,3,3,False
1.0,1.0,0.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,#,0.0,1.0,1.0,1.0,1,38.45175806296064,9983,6226,0.35,0.0003002039298088485,18,18,False
#,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,11,57.11149928241933,9960,6234,0.25,0.004904744834595775,131,131,False
0.0,#,1.0,0.0,1.0,#,1.0,#,#,#,#,1.0,#,1.0,#,#,#,#,#,0.0,1.0,0.21405831560130767,0.8571428571428571,1,39.712,9744,6235,0.4,0.0003100430009220511,6,7,False
#,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,0.0,0.0,#,1.0,#,#,0.0,0.11815700323790082,0.8076923076923077,1,46.25855594833931,9858,6239,0.3,0.0003611538452997511,42,52,False
1.0,1.0,0.0,1.0,#,#,0.0,0.0,#,#,#,#,#,0.0,#,#,#,0.0,#,#,0.0,1.0,1.0,1,34.8936604672,9965,6248,0.4,0.00027242483895058994,14,14,False
1.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,#,#,1.0,#,#,0.0,1.0,1.0,2,42.78584446702785,9883,6265,0.35,0.0006680827767698152,27,27,False
1.0,#,0.0,1.0,#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,#,0.0,#,0.0,0.0,0.012054376104299195,0.6428571428571429,1,47.0460975104,9208,6271,0.4,0.00036730240868744593,9,14,False
#,0.0,#,0.0,#,1.0,#,0.0,#,#,0.0,#,0.0,#,0.0,#,#,0.0,#,#,0.0,0.08966986063941502,0.7857142857142857,1,41.3796834304,9753,6273,0.4,0.0003230630849104978,11,14,False
#,1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,1.0,1.0,#,#,1.0,1.0,1.0,1,50.15150047406318,9932,6275,0.3,0.0003915471824063813,55,55,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,2,39.050133710814755,9935,6276,0.3,0.0006097512410409124,57,57,False
0.0,1.0,#,1.0,1.0,#,#,#,1.0,1.0,#,#,1.0,#,#,#,#,#,#,#,1.0,0.056313514709472656,0.75,1,46.52602970399345,9595,6289,0.35,0.0040214391302379375,18,24,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,2,57.42020482787562,9984,6292,0.3,0.0008965920939964446,68,68,False
0.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,0.0,0.09915041785690193,0.7936507936507936,1,52.284456119337456,9894,6306,0.25,0.00040819978033885683,100,126,False
#,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,1.0,1.0,1,61.09490983324377,9960,6310,0.3,0.0004769855254271008,63,63,False
1.0,0.0,#,0.0,0.0,#,1.0,#,#,#,#,#,0.0,1.0,#,#,#,#,#,#,0.0,0.11506810774123744,0.8055555555555556,1,42.14006683176665,9782,6319,0.35,0.00032899961672987313,29,36,False
0.0,#,1.0,1.0,#,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.18437873389866474,0.8444444444444444,1,41.16219234584296,9966,6325,0.25,0.0003213650694861964,76,90,False
0.0,0.0,1.0,#,1.0,1.0,#,1.0,#,#,#,1.0,#,#,#,1.0,#,1.0,0.0,#,1.0,0.017341529915832606,0.6666666666666666,1,43.333333333333336,9744,6325,0.5,0.00033831579136337165,2,3,False
1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,1.0,1.0,8,55.40629982262571,9988,6327,0.25,0.003460583293109142,115,115,False
0.0,1.0,#,1.0,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,#,#,#,0.0,0.08196675577275567,0.7786885245901639,1,37.86591500607909,9947,6331,0.25,0.0002956300846379958,95,122,False
1.0,0.0,0.0,1.0,#,#,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,5,37.29594791699826,9865,6347,0.3,0.0014559009385599643,53,53,False
1.0,1.0,#,1.0,#,1.0,#,#,#,#,#,1.0,#,#,1.0,#,#,0.0,#,0.0,0.0,1.0,1.0,1,48.74870210576384,9762,6358,0.4,0.00038059513225035586,18,18,False
1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,#,#,0.0,0.2037937254811257,0.8529411764705882,2,54.80027575498595,9988,6384,0.25,0.0008556830150298027,87,102,False
#,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,1.0,#,0.0,1.0,1.0,2,42.50794901730032,9943,6388,0.3,0.0006637435574317759,59,59,False
0.0,#,1.0,#,#,#,0.0,1.0,#,1.0,#,1.0,0.0,0.0,#,#,#,#,#,#,1.0,0.01009895532367115,0.631578947368421,1,44.86585338553958,9694,6411,0.4,0.0003502806159997345,12,19,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,2,57.81116211040948,9918,6414,0.35,0.0009026967258008929,33,33,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,#,#,#,0.0,1.0,1.0,4,45.792686473499245,9985,6425,0.3,0.0014300666735018455,50,50,False
1.0,1.0,0.0,#,0.0,#,0.0,#,0.0,#,#,#,#,#,#,#,1.0,0.0,#,#,0.0,0.08966986063941502,0.7857142857142857,1,32.264196812799995,9965,6436,0.4,0.0002518958602482924,11,14,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,2,46.22485565977963,9928,6438,0.35,0.0007217814749167371,32,32,False
1.0,1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,14,45.56520886078412,9983,6476,0.25,0.00498036959356682,99,99,False
1.0,1.0,#,#,0.0,#,#,#,#,#,#,0.0,#,#,#,0.0,#,0.0,0.0,0.0,0.0,0.3675725423828692,0.9047619047619048,1,42.76358774075949,9636,6511,0.4,0.0003338676237242775,19,21,False
0.0,0.0,1.0,0.0,#,#,#,1.0,#,#,1.0,0.0,#,1.0,#,#,#,#,#,1.0,0.0,0.003712098683732816,0.5714285714285714,1,51.664,9535,6515,0.45,0.0004033557010383976,4,7,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,1.0,4,61.74385116907399,9997,6524,0.3,0.0019282079880080774,59,59,False
#,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0945820933955188,0.7899159663865546,1,43.18862336570402,9960,6533,0.2,0.0003371859990429867,188,238,False
#,1.0,1.0,0.0,#,1.0,#,#,#,1.0,#,#,0.0,1.0,#,#,1.0,#,#,#,1.0,0.00043861045619322613,0.46153846153846156,1,34.389323776,9984,6543,0.4,0.0002684873374091227,6,13,False
1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,1,56.64837273089081,9988,6544,0.35,0.00044227013192073614,21,21,False
#,1.0,0.0,1.0,#,#,1.0,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,1,48.34234021902161,9784,6580,0.3,0.00037742254817436097,48,48,False
1.0,0.0,1.0,0.0,#,1.0,#,0.0,#,1.0,#,#,0.0,#,#,#,#,0.0,#,#,0.0,0.017341529915832606,0.6666666666666666,1,38.10464,9753,6600,0.45,0.0002974938792973012,6,9,False
0.0,#,0.0,#,1.0,#,#,#,#,1.0,1.0,#,#,#,#,#,#,#,#,#,1.0,0.10008096408605056,0.794392523364486,1,41.187272551805606,9998,6607,0.25,0.0003215608778645305,85,107,False
0.0,1.0,0.0,0.0,#,#,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,4,51.75988467896458,9852,6623,0.3,0.001616417201172993,59,59,False
0.0,#,0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,1.0,1.0,1.0,3,51.523650834363806,9924,6623,0.3,0.0012067798642586192,48,48,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,1.0,#,1.0,1.0,1.0,1,37.32357765658952,9807,6635,0.3,0.0002913959010323386,43,43,False
#,#,0.0,0.0,#,#,1.0,#,#,#,#,#,1.0,#,0.0,#,1.0,#,#,#,1.0,0.17680334438718975,0.8409090909090909,1,34.913591123285165,9905,6640,0.3,0.0002725804433125709,37,44,False
0.0,1.0,1.0,#,#,#,1.0,0.0,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,0.0,0.5453943226371458,0.9411764705882353,1,42.90657799864319,9957,6642,0.4,0.00033498398977627387,16,17,False
1.0,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,11,46.77111456260521,9984,6644,0.25,0.004016710915341731,114,114,False
#,0.0,1.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,1.0,#,#,#,#,#,0.0,0.00030072865982171734,0.4444444444444444,1,35.12076416581632,9861,6664,0.35,0.00027419790281641137,8,18,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,1.0,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,45.296518319320214,9945,6690,0.35,0.0003536429409509141,29,29,False
0.0,#,#,#,1.0,1.0,#,#,#,1.0,1.0,#,#,#,#,#,#,#,#,#,1.0,0.1102033816625071,0.8020833333333334,1,44.83895055929963,9932,6701,0.25,0.000350070577900905,77,96,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,40.66180356674603,9968,6715,0.3,0.00063491678085903,68,68,False
#,0.0,#,0.0,1.0,#,1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.10737418240000006,0.8,1,43.05503920007861,9999,6734,0.3,0.0003361430690574365,48,60,False
0.0,0.0,0.0,0.0,1.0,#,#,#,#,1.0,1.0,#,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,1,56.6581755904,9637,6756,0.4,0.00044234666566317783,14,14,False
1.0,#,0.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,0.0,1.0,#,#,0.0,0.0,0.0009765625,0.5,1,39.045763629056,9772,6758,0.35,0.0003048415020357977,8,16,False
1.0,1.0,0.0,#,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,#,#,#,0.0,0.11303909822337456,0.8041237113402062,1,50.75083733945868,9895,6761,0.25,0.00039622637761967794,78,97,False
#,0.0,1.0,0.0,1.0,#,1.0,#,#,0.0,#,0.0,#,#,1.0,#,1.0,#,#,#,1.0,1.0,1.0,1,50.587004928,9912,6767,0.45,0.00039494729088274843,13,13,False
1.0,0.0,1.0,1.0,#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,#,#,#,#,0.0,1.0,1.0,1,43.111540781783454,9985,6773,0.35,0.00033658419314961546,20,20,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,4,42.977339444618856,9993,6803,0.3,0.0013421457789137053,52,52,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,0.0,1.0,1.0,1,35.677932104792,9975,6824,0.3,0.0002785478730978773,49,49,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,1.0,#,#,#,#,1.0,1.0,1.0,2,43.78530588214352,9893,6828,0.3,0.0006836889419817542,41,41,False
0.0,0.0,0.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,8,45.72671019971293,9964,6833,0.25,0.0028560125811063577,106,106,False
1.0,1.0,1.0,#,#,0.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,1,49.691199999999995,9958,6854,0.4,0.00038795348427220547,8,8,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,5,49.20196203318052,9993,6867,0.25,0.0019206693140637729,104,104,False
#,#,0.0,0.0,#,#,1.0,#,1.0,#,0.0,#,1.0,#,0.0,#,#,#,#,0.0,1.0,0.09405385072968116,0.7894736842105263,1,38.111501618839554,9724,6877,0.4,0.00029754744992824896,15,19,False
1.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,7,50.51075957189907,9971,6879,0.3,0.0027604641502736358,55,55,False
#,1.0,1.0,0.0,#,#,#,#,#,#,1.0,0.0,#,0.0,#,#,#,#,#,1.0,1.0,0.1253815679310719,0.8125,2,37.364840611839995,9874,6882,0.35,0.0005834361055735797,13,16,False
0.0,1.0,#,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,3,46.7159292680396,9998,6888,0.25,0.0010941740708948387,100,100,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.0,1.0,1.0,3,51.68321467813844,9956,6900,0.3,0.00121051714666413,53,53,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,15,54.26438049331535,9956,6912,0.25,0.006354864287113531,101,101,False
1.0,0.0,0.0,0.0,#,#,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,3,52.25387095151682,9988,6932,0.3,0.0012238829794219781,34,34,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,10,44.22893102414882,9999,6934,0.25,0.0034530798001363586,108,108,False
0.0,0.0,#,0.0,1.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,1.0,0.10737418240000006,0.8,1,43.31600055892425,9973,6966,0.25,0.0003381804694105086,76,95,False
0.0,0.0,#,#,1.0,1.0,1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,1.0,0.5736714051101435,0.9459459459459459,2,47.52902440714094,9966,6976,0.35,0.0007421455156168104,35,37,False
1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,0.0,#,#,0.0,1.0,1.0,1,49.2775875463489,9900,6979,0.3,0.00038472429293586586,49,49,False
1.0,#,0.0,1.0,#,#,1.0,#,#,#,#,#,#,#,#,0.0,1.0,0.0,#,#,0.0,0.14799861436994402,0.8260869565217391,1,31.19135542650664,9890,6985,0.35,0.00024351987911111052,19,23,False
#,#,0.0,0.0,#,#,1.0,#,#,#,#,#,0.0,#,#,1.0,0.0,#,#,#,0.0,0.10142702300277165,0.7954545454545454,1,53.268233280719286,9954,6989,0.3,0.0004158804114668131,35,44,False
0.0,#,1.0,0.0,0.0,#,0.0,#,1.0,#,0.0,#,#,#,0.0,0.0,#,#,#,#,0.0,1.0,1.0,1,47.92,9989,6991,0.45,0.00037412521666460233,6,6,False
#,#,#,0.0,#,1.0,#,1.0,#,0.0,1.0,1.0,1.0,#,1.0,#,#,#,#,#,1.0,0.017341529915832606,0.6666666666666666,1,40.24864,9781,6995,0.4,0.0003142327036822951,6,9,False
1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,14,53.532921487311896,9988,6996,0.25,0.005851256717483638,75,75,False
0.0,0.0,0.0,0.0,1.0,#,#,#,#,#,1.0,1.0,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,1,46.124254719999996,9942,6998,0.4,0.0003601053169994429,12,12,False
0.0,0.0,1.0,0.0,#,0.0,1.0,#,#,#,#,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,1,43.1656228864,9955,7003,0.4,0.00033700642768858343,15,15,False
0.0,0.0,1.0,1.0,#,1.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,40.85710505984,9974,7004,0.35,0.00031898316533391193,17,17,False
#,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,0.0,1.0,#,1.0,#,#,#,1.0,0.15551349036941284,0.8301886792452831,1,47.70457593927132,9845,7005,0.3,0.00037244333908958386,44,53,False
1.0,#,0.0,#,#,#,#,1.0,#,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,0.08783430836422548,0.7840909090909091,1,55.90082075101039,9988,7019,0.25,0.0004364337786978477,69,88,False
1.0,1.0,0.0,1.0,#,#,1.0,#,#,#,#,#,#,#,#,#,1.0,0.0,#,#,0.0,1.0,1.0,5,27.469914940934167,9890,7026,0.35,0.0010723276167607671,28,28,False
1.0,#,0.0,1.0,0.0,#,1.0,#,#,#,#,#,#,#,#,0.0,1.0,0.0,#,#,0.0,0.3486784401000001,0.9,1,30.99776,9289,7026,0.4,0.00024200842395904305,9,10,False
0.0,#,0.0,0.0,#,#,0.0,0.0,#,1.0,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,1.693508780843028e-05,0.3333333333333333,1,48.596799999999995,9465,7038,0.45,0.0003794091888398653,3,9,False
0.0,#,#,1.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,0.0,#,1.0,0.08783430836422548,0.7840909090909091,1,40.265088753520516,9974,7039,0.25,0.00031436112382993126,69,88,False
#,0.0,1.0,0.0,#,#,1.0,#,1.0,#,#,#,0.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1,47.155457174994524,9912,7044,0.35,0.0003681562110290735,26,26,False
#,1.0,#,0.0,#,1.0,#,#,#,1.0,1.0,#,#,#,#,#,1.0,#,#,#,1.0,0.03792559321472305,0.7209302325581395,1,38.43876230491637,9993,7056,0.3,0.0049332730362924015,31,43,False
1.0,1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,#,1.0,1.0,1.0,2,43.3513041952768,9864,7083,0.35,0.0006769121900981226,17,17,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,1.0,1.0,#,#,#,#,#,0.0,#,#,1.0,1.0,1.0,1,39.35936295609959,9837,7089,0.35,0.0003072898621396386,20,20,False
1.0,#,1.0,0.0,#,#,0.0,0.0,0.0,#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,1.0,1.0,1,49.57312,9815,7090,0.4,0.000387031599765032,9,9,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,#,#,1.0,#,#,1.0,#,0.0,#,#,#,0.0,1.0,1.0,1,48.70784,9867,7097,0.4,0.0003802761100430881,9,9,False
#,1.0,0.0,1.0,#,#,#,#,0.0,#,#,1.0,#,0.0,#,#,0.0,0.0,#,#,0.0,0.004562132974169934,0.5833333333333334,1,44.17126144,9906,7110,0.4,0.0003448577369905842,7,12,False
0.0,1.0,#,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.15251042646196802,0.8285714285714286,1,49.41937810249716,9960,7118,0.25,0.0003858312925715078,87,105,False
#,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,0.0740636083547924,0.7708333333333334,1,41.232777017161396,9955,7121,0.25,0.00032191614430777845,74,96,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,0.0,1.0,1.0,1.0,2,42.11838750459587,9878,7125,0.35,0.0006576607199799921,24,24,False
1.0,1.0,#,#,#,#,#,#,#,0.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,1.0,1,62.94048310412187,9997,7126,0.35,0.0004913944465422441,23,23,False
#,0.0,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,0.08101311022241207,0.7777777777777778,1,40.2356468612265,9840,7137,0.25,0.0003141312625124539,56,72,False
